timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1778961215.0461,955,438,Center,0.4977,0.4057
1778961215.1022,1277,759,Right,0.6653,0.7028
1778961215.1477,1009,628,Center,0.5259,0.5817
1778961215.2022,944,573,Center,0.4921,0.531
1778961215.2395,921,543,Center,0.4797,0.5028
1778961215.2918,899,540,Center,0.4685,0.5007
1778961215.339,751,419,Left,0.3912,0.3882
1778961215.3832,823,435,Center,0.4287,0.4032
1778961215.4375,838,443,Center,0.437,0.411
1778961215.4833,838,447,Center,0.4369,0.4145
1778961215.7173,835,451,Center,0.4354,0.4178
1778961215.7699,860,428,Center,0.4481,0.3972
1778961215.8225,889,410,Center,0.4632,0.3796
1778961215.876,917,423,Center,0.4776,0.3921
1778961215.9181,945,438,Center,0.4925,0.4061
1778961215.9724,1002,432,Center,0.5222,0.4008
1778961216.0193,1028,429,Center,0.5358,0.3978
1778961216.0935,1053,416,Center,0.5487,0.3854
1778961216.1388,1079,365,Center,0.5621,0.3382
1778961216.1948,1086,319,Center,0.5657,0.296
1778961216.2398,1086,324,Center,0.5659,0.3008
1778961216.299,1082,321,Center,0.564,0.2979
1778961216.3405,1081,350,Center,0.5634,0.3242
1778961216.3847,1066,372,Center,0.5557,0.3454
1778961216.4328,1083,399,Center,0.5643,0.3695
1778961216.6322,1085,407,Center,0.5652,0.3771
1778961216.6742,1069,430,Center,0.557,0.3986
1778961216.7192,1033,428,Center,0.5383,0.3971
1778961216.7615,1006,433,Center,0.5243,0.4014
1778961216.7941,979,444,Center,0.5103,0.4115
1778961216.841,948,440,Center,0.4943,0.4082
1778961216.8829,962,424,Center,0.5011,0.393
1778961216.9197,981,427,Center,0.5113,0.396
1778961216.9631,1009,436,Center,0.5258,0.4046
1778961217.0037,1024,431,Center,0.5336,0.3996
1778961217.0426,1033,428,Center,0.5385,0.3964
1778961217.0905,1022,444,Center,0.5325,0.4115
1778961217.1502,1023,445,Center,0.5331,0.4125
1778961217.2048,1030,436,Center,0.537,0.4043
1778961217.2458,1043,418,Center,0.5433,0.3879
1778961217.496,1034,422,Center,0.5387,0.3909
1778961217.5378,1019,432,Center,0.5308,0.4
1778961217.5808,991,417,Center,0.5164,0.3866
1778961217.6192,957,413,Center,0.4985,0.3825
1778961217.6581,931,428,Center,0.485,0.3964
1778961217.6939,944,416,Center,0.4918,0.3854
1778961217.7354,939,412,Center,0.4893,0.3822
1778961217.7682,945,425,Center,0.4923,0.3936
1778961217.8065,953,428,Center,0.4965,0.3964
1778961217.8499,939,418,Center,0.4893,0.3873
1778961217.883,893,412,Center,0.4655,0.3817
1778961217.9202,872,390,Center,0.4545,0.3619
1778961217.9605,853,377,Center,0.4444,0.3498
1778961217.9911,844,384,Center,0.4397,0.3564
1778961218.0201,841,389,Center,0.4383,0.3609
1778961218.2077,851,393,Center,0.4435,0.3642
1778961218.2506,904,387,Center,0.4713,0.3592
1778961218.2908,956,397,Center,0.4983,0.3683
1778961218.3291,978,378,Center,0.5098,0.3508
1778961218.3713,1017,381,Center,0.5302,0.3532
1778961218.4153,1044,380,Center,0.544,0.3524
1778961218.4603,1027,383,Center,0.5353,0.355
1778961218.4984,1012,369,Center,0.5274,0.3418
1778961218.5386,1012,368,Center,0.5271,0.3415
1778961218.5864,1000,349,Center,0.5209,0.3237
1778961218.6222,1003,362,Center,0.5226,0.3353
1778961218.6553,1007,379,Center,0.5248,0.3518
1778961218.6927,1003,395,Center,0.5224,0.3659
1778961218.7329,1006,403,Center,0.524,0.3738
1778961218.7646,976,413,Center,0.5086,0.3828
1778961218.9552,953,396,Center,0.4968,0.3668
1778961218.9952,969,384,Center,0.505,0.3562
1778961219.0379,1000,392,Center,0.5212,0.3634
1778961219.0824,1016,402,Center,0.5292,0.3728
1778961219.1244,1062,408,Center,0.5534,0.3782
1778961219.1641,1100,413,Center,0.5732,0.3829
1778961219.1993,1098,411,Center,0.5723,0.3807
1778961219.2391,1089,395,Center,0.5674,0.3658
1778961219.2862,1088,384,Center,0.5667,0.3564
1778961219.3276,1083,379,Center,0.5644,0.3518
1778961219.3683,1079,376,Center,0.5621,0.3489
1778961219.4062,1078,396,Center,0.5615,0.3672
1778961219.4355,1083,416,Center,0.5644,0.3856
1778961219.4887,1089,436,Center,0.5677,0.404
1778961219.5189,1103,456,Center,0.5747,0.423
1778961219.6977,1112,477,Center,0.5792,0.4417
1778961219.7362,1113,473,Center,0.5797,0.4388
1778961219.7768,1106,470,Center,0.5761,0.4356
1778961219.82,1098,466,Center,0.5721,0.432
1778961219.8613,1085,460,Center,0.5652,0.4268
1778961219.905,1076,456,Center,0.5609,0.4228
1778961219.9388,1060,457,Center,0.5522,0.4238
1778961219.9811,1047,459,Center,0.5455,0.4257
1778961220.0301,1023,464,Center,0.5332,0.43
1778961220.0641,988,442,Center,0.515,0.4098
1778961220.1264,954,421,Center,0.4972,0.3902
1778961220.1732,932,397,Center,0.4857,0.3684
1778961220.223,934,373,Center,0.4867,0.3457
1778961220.2643,961,373,Center,0.5006,0.3459
