timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779067289.7069,699,0,Left,0.3642,0.0
1779067289.7995,432,249,Left,0.2254,0.2311
1779067289.8988,682,206,Left,0.3553,0.1908
1779067289.9954,793,217,Center,0.4132,0.201
1779067290.1758,846,215,Center,0.441,0.1994
1779067290.2715,915,285,Center,0.4769,0.2642
1779067290.528,1095,251,Center,0.5707,0.2327
1779067290.6356,1085,299,Center,0.5654,0.2774
1779067290.7365,1060,327,Center,0.5525,0.3032
1779067290.8632,1049,360,Center,0.5465,0.334
1779067290.9697,1040,382,Center,0.5421,0.3539
1779067291.2495,1025,394,Center,0.5343,0.3651
1779067291.4272,1000,389,Center,0.5209,0.3609
1779067291.5295,929,383,Center,0.4843,0.3552
1779067291.6428,855,388,Center,0.4453,0.3595
1779067291.7427,854,359,Center,0.445,0.3328
1779067291.8428,867,346,Center,0.4516,0.3212
1779067291.9326,876,345,Center,0.4565,0.3195
1779067292.0296,953,340,Center,0.4964,0.3152
1779067292.2775,1026,327,Center,0.5348,0.3036
1779067292.3665,1034,334,Center,0.5389,0.3094
1779067292.4664,1024,343,Center,0.5338,0.3176
1779067292.5574,1013,352,Center,0.5279,0.3261
1779067292.6439,1013,358,Center,0.5277,0.3321
1779067292.7347,1013,364,Center,0.528,0.3374
1779067292.8339,1014,364,Center,0.5282,0.3379
1779067292.9428,1018,358,Center,0.5304,0.332
1779067293.0488,1021,348,Center,0.5322,0.3229
1779067293.1443,1022,348,Center,0.5325,0.3229
1779067293.2325,1026,345,Center,0.5345,0.3197
1779067293.3305,1020,340,Center,0.5313,0.3156
1779067293.4258,1008,309,Center,0.5252,0.2869
1779067293.5212,1013,277,Center,0.5279,0.2571
1779067293.6175,1004,283,Center,0.523,0.2622
1779067293.7194,1003,295,Center,0.5228,0.274
1779067293.8126,1004,296,Center,0.5229,0.2747
1779067293.9048,1010,327,Center,0.5263,0.3037
1779067294.0091,1003,363,Center,0.5225,0.3363
1779067294.1213,1008,353,Center,0.5252,0.3276
1779067294.2335,1004,345,Center,0.523,0.3196
1779067294.3291,1002,355,Center,0.5222,0.329
1779067294.4215,998,364,Center,0.52,0.3379
1779067294.5159,991,372,Center,0.5166,0.3449
1779067294.6156,981,373,Center,0.511,0.346
1779067294.7166,974,369,Center,0.5074,0.3418
1779067294.8056,976,358,Center,0.5084,0.3315
1779067294.8941,982,359,Center,0.5116,0.3328
1779067294.9858,991,358,Center,0.5162,0.3319
1779067295.0801,1003,354,Center,0.5228,0.3283
1779067295.1694,1013,351,Center,0.5278,0.3252
1779067295.2593,1013,350,Center,0.528,0.3242
1779067295.3597,1006,348,Center,0.5242,0.3225
1779067295.4564,1004,332,Center,0.5232,0.3083
1779067295.5576,996,327,Center,0.5192,0.3033
1779067295.6532,998,323,Center,0.5198,0.3
1779067295.745,912,339,Center,0.4754,0.3142
1779067295.844,782,338,Center,0.4073,0.3136
1779067295.9485,652,356,Left,0.3398,0.3296
1779067296.0416,461,365,Left,0.2404,0.3381
1779067296.1309,272,374,Left,0.1417,0.3469
1779067296.2282,175,373,Left,0.0914,0.3459
1779067296.3336,118,390,Left,0.0616,0.3617
1779067296.4303,47,391,Left,0.0249,0.3622
1779067296.5303,41,391,Left,0.0215,0.3629
1779067296.6356,29,388,Left,0.0153,0.3602
1779067296.742,17,403,Left,0.0092,0.3732
1779067296.8516,10,403,Left,0.0056,0.374
1779067296.9715,10,435,Left,0.0056,0.4036
1779067297.0778,10,482,Left,0.0056,0.447
1779067297.1834,9,531,Left,0.0048,0.4917
1779067297.2894,106,488,Left,0.0555,0.4519
1779067297.3899,106,462,Left,0.0555,0.4281
1779067297.4938,106,427,Left,0.0555,0.3962
1779067297.6015,106,399,Left,0.0555,0.3702
1779067297.7063,106,336,Left,0.0555,0.3115
1779067297.8218,0,376,Left,0.0002,0.3487
1779067297.9458,0,431,Left,0.0002,0.3992
1779067298.057,12,461,Left,0.0065,0.4277
1779067298.1803,73,489,Left,0.0385,0.4531
1779067298.2964,102,590,Left,0.0534,0.5471
1779067298.7029,327,575,Left,0.1707,0.5333
1779067298.8166,503,505,Left,0.2621,0.4682
1779067299.283,663,429,Left,0.3453,0.3978
1779067299.8042,831,412,Center,0.4329,0.3817
1779067299.9307,880,348,Center,0.4583,0.3229
1779067300.03,820,339,Center,0.4271,0.3143
1779067300.1284,823,359,Center,0.4289,0.3332
1779067300.2331,798,433,Center,0.4159,0.4012
1779067300.3396,740,415,Left,0.3859,0.3848
1779067300.4374,808,417,Center,0.4213,0.3863
1779067300.5474,829,352,Center,0.4319,0.3263
1779067301.0976,650,339,Left,0.3387,0.3141
1779067301.2084,503,367,Left,0.2622,0.3403
1779067301.3173,349,284,Left,0.1819,0.2639
1779067301.4279,352,264,Left,0.1835,0.2451
1779067301.5345,268,357,Left,0.1399,0.3312
1779067301.6413,306,388,Left,0.1596,0.3598
1779067301.7516,360,340,Left,0.1877,0.3153
1779067301.8635,414,446,Left,0.2158,0.4132
1779067301.9689,304,444,Left,0.1586,0.4119
1779067302.0763,235,424,Left,0.1225,0.3931
1779067302.1846,235,424,Left,0.1225,0.3931
1779067302.311,321,333,Left,0.1673,0.3084
1779067302.4076,543,249,Left,0.2831,0.2314
1779067302.5114,770,180,Center,0.4016,0.1674
1779067302.623,890,162,Center,0.464,0.1505
1779067302.7298,1036,152,Center,0.5398,0.141
1779067302.8346,1107,200,Center,0.5769,0.1858
1779067302.9406,1005,256,Center,0.5239,0.2378
1779067303.048,894,277,Center,0.4659,0.2574
1779067303.1478,946,264,Center,0.4932,0.245
1779067303.2624,972,260,Center,0.5066,0.2417
1779067303.3676,976,279,Center,0.5087,0.259
1779067303.473,995,268,Center,0.5183,0.2485
1779067303.5827,1006,246,Center,0.5242,0.2282
1779067303.6952,1006,272,Center,0.5243,0.252
1779067303.8152,981,281,Center,0.5112,0.2607
1779067303.9454,957,281,Center,0.4989,0.2607
1779067304.0546,956,302,Center,0.4984,0.2803
1779067304.322,943,332,Center,0.4914,0.3083
1779067304.4267,925,339,Center,0.4819,0.3143
1779067304.5266,955,329,Center,0.4979,0.305
1779067304.6362,995,324,Center,0.5183,0.3006
1779067304.7486,1030,319,Center,0.537,0.2955
1779067304.8585,1068,306,Center,0.5566,0.2839
1779067304.9653,1096,278,Center,0.5711,0.2579
1779067305.2434,935,280,Center,0.4875,0.2602
1779067305.3418,777,306,Center,0.4048,0.2834
1779067305.45,590,284,Left,0.3076,0.2638
1779067305.5545,417,293,Left,0.2176,0.2718
1779067305.6632,236,320,Left,0.1233,0.2967
1779067305.7807,200,335,Left,0.1044,0.3106
1779067305.8896,144,345,Left,0.0751,0.32
1779067305.9953,200,350,Left,0.1042,0.3249
1779067306.0995,241,339,Left,0.1259,0.3141
1779067306.2086,265,331,Left,0.1385,0.3071
1779067306.3286,294,365,Left,0.1532,0.3387
1779067306.4426,351,385,Left,0.1828,0.3569
1779067306.5529,334,452,Left,0.1743,0.4188
1779067306.6652,266,512,Left,0.1387,0.4747
1779067306.7846,260,548,Left,0.1358,0.5075
1779067306.8978,279,531,Left,0.1453,0.4925
1779067307.016,330,499,Left,0.172,0.4622
1779067307.1401,365,448,Left,0.1905,0.415
1779067307.266,341,471,Left,0.1781,0.4366
1779067307.3746,290,490,Left,0.1515,0.454
1779067307.4893,260,450,Left,0.1358,0.417
1779067307.6133,152,468,Left,0.0795,0.4341
1779067307.7375,36,500,Left,0.0191,0.4634
1779067307.8611,36,481,Left,0.0191,0.4462
1779067307.9639,29,485,Left,0.0153,0.4492
1779067308.0706,0,525,Left,0.0,0.4861
1779067308.1791,0,546,Left,0.0,0.5062
1779067308.2852,0,542,Left,0.0,0.502
1779067308.3917,2,475,Left,0.0014,0.4402
1779067308.4954,2,464,Left,0.0014,0.4305
1779067308.5985,2,511,Left,0.0014,0.4736
1779067308.7082,2,520,Left,0.0014,0.4817
1779067308.8368,2,525,Left,0.0014,0.4869
1779067308.965,0,571,Left,0.0,0.5293
1779067309.0786,20,583,Left,0.0109,0.5404
1779067309.1862,20,559,Left,0.0109,0.5176
1779067309.2995,20,466,Left,0.0109,0.4321
1779067309.3977,20,512,Left,0.0109,0.4742
1779067309.5145,20,483,Left,0.0109,0.4478
1779067309.6194,0,481,Left,0.0,0.4454
1779067309.7177,0,473,Left,0.0,0.4388
1779067309.8265,0,539,Left,0.0,0.4996
1779067309.9358,0,518,Left,0.0,0.4799
1779067310.07,1,559,Left,0.0008,0.5183
1779067310.195,1,575,Left,0.0008,0.5328
1779067310.2975,1,540,Left,0.0008,0.5003
1779067310.4066,1,578,Left,0.0008,0.5353
1779067310.5279,1,581,Left,0.0008,0.5384
1779067310.6252,0,630,Left,0.0,0.5836
1779067310.7324,0,654,Left,0.0,0.6065
1779067310.8564,0,748,Left,0.0,0.6927
1779067310.9805,0,779,Left,0.0,0.722
1779067311.1113,0,758,Left,0.0,0.7019
1779067311.2191,1,703,Left,0.0008,0.6512
1779067311.3317,1,582,Left,0.0008,0.5395
1779067311.4296,9,491,Left,0.005,0.4555
1779067311.5416,9,395,Left,0.005,0.3664
1779067311.6501,9,371,Left,0.005,0.3439
1779067311.7516,24,350,Left,0.013,0.3241
1779067311.8506,132,371,Left,0.0691,0.3438
1779067311.968,209,350,Left,0.109,0.3248
1779067312.0685,209,364,Left,0.109,0.3372
1779067312.1867,209,318,Left,0.109,0.2948
1779067312.3244,192,341,Left,0.1002,0.316
1779067312.4376,84,312,Left,0.0441,0.2898
1779067312.5574,2,305,Left,0.0014,0.283
1779067312.6685,30,304,Left,0.0158,0.2823
1779067312.7695,30,373,Left,0.0158,0.3455
1779067312.8738,40,336,Left,0.021,0.3115
1779067312.9846,83,347,Left,0.0437,0.322
1779067313.0988,102,390,Left,0.0533,0.3616
1779067313.2151,81,392,Left,0.0426,0.363
1779067313.3096,87,378,Left,0.0457,0.3509
1779067313.4094,135,349,Left,0.0703,0.3234
1779067313.5032,141,388,Left,0.0738,0.3593
1779067313.6134,151,408,Left,0.0791,0.3779
1779067313.7226,196,327,Left,0.1023,0.3036
1779067313.8353,190,312,Left,0.0993,0.2889
1779067313.9382,141,372,Left,0.0737,0.3446
1779067314.0423,127,377,Left,0.0666,0.3493
1779067314.1481,96,347,Left,0.0503,0.3219
1779067314.2592,44,375,Left,0.0234,0.3481
1779067314.3713,44,354,Left,0.0234,0.3282
1779067314.4761,36,348,Left,0.0191,0.3226
1779067314.585,0,386,Left,0.0,0.358
