timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779054896.4322,827,455,Center,0.431,0.4221
1779054896.4602,816,415,Center,0.4254,0.3851
1779054896.4924,836,362,Center,0.4355,0.3353
1779054896.5216,827,332,Center,0.4312,0.3081
1779054896.5501,838,320,Center,0.4368,0.2967
1779054896.5814,848,307,Center,0.442,0.2847
1779054896.6125,859,288,Center,0.4476,0.267
1779054896.6454,857,308,Center,0.4465,0.286
1779054896.679,881,332,Center,0.4593,0.3075
1779054896.713,886,353,Center,0.4616,0.3277
1779054896.744,890,346,Center,0.464,0.3209
1779054896.7899,896,354,Center,0.4669,0.3283
1779054896.8243,905,383,Center,0.4718,0.3551
1779054896.8541,900,398,Center,0.469,0.3689
1779054903.8399,893,412,Center,0.4656,0.3823
1779054903.8929,820,390,Center,0.4276,0.3613
1779054903.9407,713,370,Left,0.3715,0.3433
1779054903.9753,596,300,Left,0.3109,0.2784
1779054904.0084,484,282,Left,0.2525,0.2615
1779054904.0377,363,257,Left,0.1894,0.2388
1779054904.0686,311,282,Left,0.162,0.2616
1779054904.1004,279,305,Left,0.1453,0.2832
1779054904.1384,281,310,Left,0.1466,0.2877
1779054904.1839,280,325,Left,0.1461,0.3015
1779054904.2184,291,275,Left,0.1516,0.2554
1779054904.2633,285,221,Left,0.1486,0.2049
1779054904.2909,278,174,Left,0.1448,0.1617
1779054904.3298,239,187,Left,0.1248,0.174
1779054904.5501,189,190,Left,0.0987,0.1763
1779054904.5887,193,228,Left,0.101,0.2111
1779054904.6225,194,245,Left,0.1013,0.2274
1779054904.6498,163,328,Left,0.0854,0.3045
1779054904.6796,134,354,Left,0.0699,0.3286
1779054904.7086,117,315,Left,0.061,0.2922
1779054904.7383,49,359,Left,0.0257,0.3327
1779054904.7654,0,379,Left,0.0,0.3518
1779054904.7974,0,345,Left,0.0,0.3198
1779054904.8284,0,367,Left,0.0,0.3399
1779054904.8584,0,414,Left,0.0,0.3841
1779054904.8896,0,395,Left,0.0,0.3663
1779054904.9188,0,444,Left,0.0,0.4119
1779054904.9511,0,471,Left,0.0,0.4367
1779054904.9822,0,426,Left,0.0,0.3947
1779054905.0939,12,373,Left,0.0064,0.3459
1779054905.1298,35,383,Left,0.0186,0.3553
1779054905.1584,71,358,Left,0.0375,0.3316
1779054905.1862,129,337,Left,0.0674,0.3125
1779054905.2211,171,365,Left,0.0892,0.3382
1779054905.2519,215,357,Left,0.112,0.3311
1779054905.2781,277,353,Left,0.1446,0.3276
1779054905.3084,324,323,Left,0.1691,0.2997
1779054905.3421,300,287,Left,0.1568,0.2664
1779054905.3849,379,297,Left,0.1976,0.2755
1779054905.43,469,340,Left,0.2447,0.315
1779054905.4501,534,333,Left,0.2786,0.309
1779054905.4912,562,349,Left,0.2928,0.3238
1779054905.5209,591,387,Left,0.3083,0.3584
1779054905.5541,558,385,Left,0.2911,0.3566
1779054905.674,534,381,Left,0.2782,0.3536
1779054905.7067,457,389,Left,0.2385,0.3609
1779054905.7323,440,368,Left,0.2296,0.3413
1779054905.7639,449,352,Left,0.234,0.3268
1779054905.7956,478,354,Left,0.2494,0.3282
1779054905.8252,423,347,Left,0.2203,0.322
1779054905.8513,407,339,Left,0.2121,0.3141
1779054905.8833,349,367,Left,0.1818,0.3401
1779054905.9155,314,305,Left,0.1637,0.2827
1779054905.9453,257,217,Left,0.1342,0.2013
1779054905.9755,233,166,Left,0.1216,0.1541
1779054906.0085,250,149,Left,0.1305,0.1384
1779054906.0403,269,143,Left,0.1403,0.1326
1779054906.0758,296,175,Left,0.1545,0.1621
